,Unnamed: 0,team_name,week,neutral_site,conference_game,home_team,home_points,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_team,away_points,away_post_win_prob,away_pregame_elo,away_postgame_elo,elo_diff,point_diff,home/away,win/loss
121,121,Washington State,1,False,False,Washington State,24.0,0.8996156310683641,1590.0,1590.0,Idaho,17.0,0.10038436893163603,,,,7.0,Home,W
122,122,Washington State,2,False,False,Wisconsin,14.0,,1742.0,1728.0,Washington State,17.0,,1590.0,1604.0,-152.0,3.0,Away,W
123,123,Washington State,3,False,False,Washington State,38.0,0.9989231541463116,1604.0,1651.0,Colorado State,7.0,0.001076845853688391,1293.0,1246.0,311.0,31.0,Home,W
124,124,Washington State,4,False,True,Washington State,41.0,0.06701254757373536,1651.0,1641.0,Oregon,44.0,0.9329874524262648,1557.0,1567.0,94.0,-3.0,Home,L
125,125,Washington State,5,False,True,Washington State,28.0,0.9780220001355744,1641.0,1674.0,California,9.0,0.0219779998644255,1536.0,1503.0,105.0,19.0,Home,W
126,126,Washington State,6,False,True,USC,30.0,0.9101595843020138,1708.0,1739.0,Washington State,14.0,0.08984041569798618,1674.0,1643.0,-34.0,-16.0,Away,L
127,127,Washington State,7,False,True,Oregon State,24.0,0.9949367915984372,1549.0,1586.0,Washington State,10.0,0.005063208401562935,1643.0,1606.0,94.0,-14.0,Away,L
128,128,Washington State,9,False,True,Washington State,17.0,0.018925868727953314,1606.0,1615.0,Utah,21.0,0.9810741312720468,1853.0,1844.0,-247.0,-4.0,Home,L
129,129,Washington State,10,False,True,Stanford,14.0,0.10106587360561342,1335.0,1260.0,Washington State,52.0,0.8989341263943866,1615.0,1690.0,280.0,38.0,Away,W
130,130,Washington State,11,False,True,Washington State,28.0,0.4560407624552485,1690.0,1693.0,Arizona State,18.0,0.5439592375447515,1492.0,1489.0,198.0,10.0,Home,W
131,131,Washington State,12,False,True,Arizona,20.0,0.03815521063252913,1368.0,1372.0,Washington State,31.0,0.9618447893674708,1693.0,1689.0,325.0,11.0,Away,W
132,132,Washington State,13,False,True,Washington State,33.0,0.0011860965095532832,1689.0,1644.0,Washington,51.0,0.9988139034904469,1684.0,1729.0,5.0,-18.0,Home,L
133,133,Fresno State,1,False,False,Fresno State,35.0,0.9988563943420083,1590.0,1590.0,Cal Poly,7.0,0.0011436056579916534,,,,28.0,Home,W
134,134,Fresno State,2,False,False,Fresno State,32.0,0.1341690344437201,1590.0,1586.0,Oregon State,35.0,0.8658309655562799,1593.0,1597.0,-3.0,-3.0,Home,L
135,135,Fresno State,3,False,False,USC,45.0,0.9922297898368768,1618.0,1687.0,Fresno State,17.0,0.00777021016312307,1586.0,1517.0,-32.0,-28.0,Away,L
136,136,Fresno State,5,False,False,Connecticut,19.0,0.9720392218645612,999.0,1029.0,Fresno State,14.0,0.027960778135438732,1517.0,1487.0,518.0,-5.0,Away,L
137,137,Fresno State,6,False,True,Boise State,40.0,0.992592213628851,1582.0,1619.0,Fresno State,20.0,0.007407786371149028,1487.0,1450.0,-95.0,-20.0,Away,L
138,138,Fresno State,7,False,True,Fresno State,17.0,0.8922358469649397,1450.0,1466.0,San José State,10.0,0.10776415303506026,1553.0,1537.0,-103.0,7.0,Home,W
139,139,Fresno State,8,False,True,New Mexico,9.0,0.0011002342429058017,1148.0,1097.0,Fresno State,41.0,0.9988997657570942,1466.0,1517.0,318.0,32.0,Away,W
140,140,Fresno State,9,False,True,Fresno State,32.0,0.0014930675372850461,1517.0,1517.0,San Diego State,28.0,0.9985069324627148,1423.0,1423.0,94.0,4.0,Home,W
141,141,Fresno State,10,False,True,Fresno State,55.0,0.9988942485794072,1517.0,1593.0,Hawai'i,13.0,0.00110575142059266,1166.0,1090.0,351.0,42.0,Home,W
142,142,Fresno State,11,False,True,UNLV,30.0,0.10340329410221973,1278.0,1288.0,Fresno State,37.0,0.8965967058977803,1593.0,1583.0,315.0,7.0,Away,W
